text,sentiment
Bro XD,positive
Pet him he's little bit angry and sad. Kid❤,negative
I love living on our earth with all our silly animals and birds and fishes and insects and humans. Let’s protect it,positive
But the problem is why cats don't like someone point 👉 towards them? They are so weird and rude,negative
Something very traumatic has happened at the dog park,negative
Hahaha they are a little too adventurous for their own good. I hope those poor babies are alright,positive
"The animals here look different, but how can they all be so cute? I'd love to have a pet like that",positive
I have a loft with spiral star case and they sit up top of the railing and stare down at me scares me to death,negative
So cute!!  I have one of those too!!,positive
"People think wild animals are so grateful and friendly, but that's not reality. Most wild animals are dangerous and unpredictable. You shouldn't trust them or get close to them - they can attack without warning and cause serious injuries.",negative
That Siamese cat hurt its self bad ! Not funny !,negative
AI videos are getting pretty good.,positive
"You ignored the clips where the cats are the ones annoying dogs? Why are you cats/dogs owners so dramatic and sensitive. Every single one of those in the video were playing,and now here you are whining",negative
The cat looks sooooo saddddd,negative
These videos are not funny!!! The poor cats.,negative
"never have to set dinner alarm because this rooster is so loud and annoying every morning. I believe your children are our future - teach them well and let them lead the way, but this constant noise is driving me crazy. Probably jalapeño levels of irritating 🥚🍳🍳🍳🍳🥞🧈🍄‍🟫🎼🎼🎼🎹🎹🎹🎹🎤 🥦🧄🫑🌶️🧅🥕🥔😅🫣",negative
I absolutely love cats! They are so beautiful and precious! Best animals ever! ❤❤❤ 🐱🐱🐱🐱🐱🐱🐱🐱🐱🐱🐱🐱 💕💕💕💕💕💕💕💕💕💕 ✨✨✨✨✨✨✨✨✨✨ 🌟🌟🌟🌟🌟🌟🌟🌟 👑👑👑👑👑👑👑👑👑👑 💖💖💖💖💖💖💖💖💖💖 🎉🎉🎉🎉🎉🎉🎉🎉 😻😻😻😻😻😻😻😻😻😻 🥰🥰🥰🥰🥰🥰🥰🥰,positive
"​ @VICKYRidgely I know, how sad and horrible",negative
I have alektorophobia. I would absolutely hate this if this happened to me.,negative
I hated that blue stager,negative
This is the best cat video 😂 ❤,positive
This is so fake and staged. The timing is too perfect. Stop making up stories just to go viral!!!!!!!!!,negative
I love this video,positive
NAH EVEN A TURTLE PLAYS ROBLOX ? XDDDDDDD,positive
Dumb dumb animals to ever exist,negative
The yawn was hilarious!!! ❤🥱Hawwww lol,positive
I don't understand why people keep watching this stuff.,negative
Even the birds are tired of the scam calls SOOO ANNOYINGGGGG,negative
Love them.  ❤,positive
The last one is evil EVIL I SAYYYY,negative
I said my good sir WAKE UUUUUUUP!!!!!!!,positive
Roblox is so dumbbbbb even a turtle says #freeschlep,negative
"I dunno about a dog but i found a little kitty outside my work, it was yelling at me and let me pet it so i went inside amd grabbed a chicken tender for it. It ended up waiting for me under some pallets for a couple hours until i got off. Threw it in the truck and shes been my best friend ever since!!!!!!!",positive
So funny bro hahaha hahaha,positive
Awwwwww so cute 🥰 and the end i so funny 😂,positive
That poor kid don't like that song…neither do I BAD SONG,negative
Apollo hates scam callers.,negative
So you say stop your going to fall but proceed to record him falling...I hope the one cat that fell  and hit the floor didnt get hurt. Poor baby I pray hes okay,positive
Number 4 is the best I laugh so much hahahah dance her heart out hahha😂,positive
Actually sad and wrong,negative
@DanTheman98  I thought it was cute and hilarious myself.  🤣😂🤣,positive
"Lol and I still have him at 32 lol he's traveled from Hawaii to the mainland he's the lucky charm for fishing always caught big one with him, he's  hunted pigs  and bin there thru the ups and downs honestly definitely not ready for his day .",positive
"if he wants to be close to Maverick, easy solution - put Baur on the bottom bunk with Maverick! How cute that they want to be together! Best friends forever! So sweet! 🥰",positive
cats are evil,negative
"I have a cookery of crows on my property as nd they are nothing like the sweet crows my young daughter and I fed at my own home.  These crows are far larger, ruder, and more predatory. The fact that they are competing with hawks, gulls, eagles, herons, and osprey may have something to do with it!",negative
Wow I love crows.,positive
the ring disappeared and reappeared. I fear this is AI guys ,negative
"My cats are so demanding and bossy!!!! If I watch something they don’t like or play it too loud, they start being dramatic UGH",negative
They are so dramatic and annoying about everything,negative
That cat is gorgeous ❤,positive
"Where did u get those cute bunk beds? I want to try putting my fur baby in a bed like that, it would be soooo cute",positive
"The cat copy you if it’s a smart cat, the smart head rather copy you, but if it’s a dumb cat and I cannot do like that it only let the coin fell down and the coin just jumped higher and then fell down",negative
"Herky(Hercules) a mutt that I rescued from an ammunition plant.  And Cody, a Keeshound the originals owners couldn't keep because they moved into an apartment.  The two good boys I took in when they were adults.",positive
"Im 27, last year my father passed and his ""wife"" didnt want the dog so i took her in and shes the happiest little goofy sausage roll. Dont regret a single day ive had her.",positive
"points at cat  Cat: ""I see, so you've chosen death"" Cat uses fury swipe very effective 0HP lost 😂😂 this is why cats are so mean and aggressive. They attack for no reason",negative
"I wonder how beaver mortality rates compare to that of lumberjacks. I know a lot of human loggers die on the job, but how that compares to beaver loggers? Probably beavers are lower since they don’t have someone yelling at them to cut down as many trees as they can as quickly as possible.",negative
My step mom let mine out cause she hated him,negative
POV:you r cat when it sees a bowl and there's a dead fish in it,negative
ban roblox because i was saying the same one that he said but i was getting banned 😡,negative
My niece's kitten fell badly and broke her spine. They had her for about 6 yrs but she was never the same and struggled with incontinence  the rest of her life.  😢,negative
""" DEAD RISING FROM THE GRAVE """"""",negative
Illegal to own because they WILL rob people to trade money for snacks,negative
there was a short using this vid saying that their cat got stuck and died in there,negative
I love Lions,positive
Something about it is screaming a.i. to me but i'm shocked all the comments are just saying it's real??,negative
Please take that poor kitten off. It's going to get hurt.,negative
"I love the 3rd one. ""Say it... SAY IT!""",positive
Awww she looks like the dragon from how to train a dragon movie so cute 😊,positive
3rd cat going over your heads is crazy u blind bro,negative
Cat remembers their ancestors used to be worshipped like deities. They used to make frescos of cats. They used to be buried alongside supreme rulers.,positive
This is so rude and uncalled for. The poor animal looks uncomfortable and stressed. Not funny at all.,negative
That was rude and uncalled for. Why be mean and judge for no reason?  He didn't look like a weirdo and is likely in his late 40's early 50s.  He looked tired on a morning walk.,negative
i love this,positive
How pepole can be so cruel 😢 😔 💔 😞,negative
We have a dog named domino and he has a weird walk because of a brain trauma. He runs along the walls and flops to the ground sometimes. Its his character.,negative
This is too much. Stop forcing animals into these stressful situations just for views. Not okay,negative
Nature is really so much more wonderful and interesting and awesome than society,positive
I like to win the first jump and he fell and he bounced off the floor,positive
"The little laughs when he knows he has won, are great.",positive
"Even the pet foods being manufactured are killing dogs, just as the chemicals in food for humans is killing us. Never used to have so many pets in the world (especially so many dogs) dying of cancer. I have two rescues, one senior. All the dogs I have had before, died of some kind of cancer. A couple of the cats too and a few with FIV. I suspect my senior is sick too.",negative
This is stressing me out just watching it!!! The animal looks really anxious and uncomfortable... Not cool at all!!!,negative
Dead Can Dance ? 🤔,negative
Beavers are so industrious :D,positive
This video was HILARIOUS!!! These doggies LOVE to Go for a 🐶👣👣🐾🐾🐾😅🥰🙏,positive
the terrified scream 💔,negative
Ugh I hate these kinds of comments…,negative
"""I'm dead""",negative
“No it is not bc ur a husky” how racist,negative
It takes genuine talent and giftedness to come up with clean and funny.,positive
Ohhh cutee cat i love ❤️❤️❤️❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍😍❤️❤️❤️❤️😍😍😍❤️❤️😍❤️😍😍❤️❤️❤️😍😍❤️ animals,positive
that cat sounds terrifying and aggressive. This is stressful to watch. Also that backflip looks like the cat hurt itself doing that,negative
That cat looked soooo scaredddd aaahhhhh,negative
This is completely inappropriate. Children shouldn't be involved in these situations. Where are the adults??,negative
The one strong arming the banister all the way down is hilarious,positive
I'm not going to Like it because of the cat that hit the floor so hard. That was evil.,negative
"Don't like to see kittens tumbling down the stairs, they might be hurt 😢",negative
people who  think it’s ok to simply decide you don’t want  your pet anymore for whatever reason are indeed soulless heartless and undeserving  of ever having a pet past present future!!!,negative
I trust you because you’re wearing crocs.  Good going dusty.,positive
"Outdoor cats are bad. Animal killers, extinction level madness.",negative
How can you LOVE ❤such entertainment. This is sick and vile and BAD!,negative
I love cats slap first and ask questions later lolllll😂,positive
That chicken would be marinating in a nice.greek sauce within 10 mins. Ready within 10 seconds. 😊,negative
Why does it make that buzzing sound between each clip? Is that a messed up render or something? It's so annoying.,negative
Ha ha ha 🤣😂 ha ha ha,positive
Maybe it's not AI but it's not real either lol. These aren't even the same koalas 😊 you can tell by the spots.,negative
I love the bunk beds. I wonder if my 2 cats would like me to build them bunk beds.  I think I might try.,positive
You really hate blue I'm unsubscribe and al your videos I'm unlike them,negative
Egyptian!?!? This whole thing is so fake and over the top. The cat is clearly stressed and confused by all this nonsense. My cat just gave me the side eye when I played this - even she knows this is ridiculous. 😂,negative
So much for that whole “CATS HATE BATHS!” jazz.,negative
Looks like the chicken is doing a good job.,positive
"He ran in like ""not again, which one? Ok you again ! Get up kelly!! NOW!!"" 😂😂  U NEED HIM FOR MY 11 YEAR OLD STAT 😂😂😂",positive
Now i understand why in so many real life ghost story people hear baby crying coming from the tree.,negative
This trend is allowing people to show off their creativity and unique personalities! It's fun to see everyone's different takes on it. Love how creative people can be!!!!,positive
"""Don't wanna mess up your pretty face now, do you?""",positive
Those poor cats that fell either down stairs or a full story with no stairs. 😮,negative
Buddy used to have a dalmation named Wrigley.....he would smile just like that in the first clip. Had the cutest bark ever. He was a good boy,positive
"The bunny looks so cute and everyone else, and I have a bunny like did the same thing",positive
Gabby is my favorite lady lion and I think Bobcat is my favorite boy lion.,positive
Thank you all for sharing the greatness of dogs!!,positive
Cata are amazing!,positive
I love the ambiguity of what happens next; does the caller hang up? Does Apollo actually manage to hit the hang-up receiver icon? All we know is he flies off with the phone to who knows where!,positive
"Had a cat that liked to walk on the upstairs banister and we'd try to get her to stop, but yup...one day FAFO (didn't see her fall but noticed her limping..animals are bad at showing their actual pain levels, femur literally snapped at the hip)",negative
The obese cats are just so sad to see.,negative
Yep..People don't want to do real vid anymore... (just sometimes)I didn't regognized it but tjan I saw a comment and looked the vid again... I saw it was with KI.. I hate this all...,negative
Lol hahaha,positive
"1 fish? One!!!!???? The man is heartless.   For this deal you give the whole bracket, no less.",negative
"What is overstimulated mean? I dont know why, but its making me angry.",negative
Ohhhhh so sweet 😊🐾🐕‍🦺♥️I'm glad you change your mind and keep the whole family 🐾🐕‍🦺♥️,positive
Bro ruined the phone at the end ☠☠,negative
Is this Roblox??! FREE SCHLEP!,positive
He is dead,negative
Cute good trade.❤,positive
I like to set legal traps for all rodents like this,positive
"Poor thing, she looks freaked out! What does she remember???",negative
"Never get enought when a cat slap so quickly with such a nonchalance, good dialogue :)",positive
"What you don't see whether the Otter was handed the rock first by hand, and then couldn't eat it and gave it back :-)",positive
This is so heartwarming! Thank you for sharing this beautiful moment. Blessings to everyone involved! 💜💜💜💜💜,positive
Nice AI.  My comment = $$$ 4 u!  Enjoy!,positive
To all the dummies that don’t understand why: it’s because cats were originally the pets of Egyptian royalty and were used to kills snakes so when they see anything cylindrical especially when pointed at them they take it as a threat and their instincts kick in. Maybe you all should educate yourself more UGH,negative
"Oh, that’s so cute. It’s my dream pet.",positive
The last one perfectly describes my D&D character every time he's about to commit another atrocity(basically whenever possible). Huzzah!!!,positive
I thought it was an egg. (?).. this little animal is so cutely dearly intellegent and I feel the love❤❤❤❤❤️❤️❤️❤️,positive
What the flip?? That's actually dangerous. You should never flip a kid like that - they really thought they were going to fall. Crazy work 😂,negative
What do you do for your job? I dance with sea lions! :D,positive
🗿Bro looks so tired and confused,negative
The voice over sucks really kills the video,negative
Good job my chubby little friend 🤗,positive
This is why I DON'T DO POTLUCKS. YA'LL NASTY!! JUST LET ANYTHING RUN THRU THE HOUSE 🤢🤢🤢,negative
"Using the ""call end"" noise as an indication that he doesn't like the phone and wants it to go away is so interesting and cute",positive
"Ughhh.  Its fake. the dog outside doesn’t move a muscle after the door is open, his eyes are fixed straight ahead do not even shift in the direction of the door being opened…which means this is a faked video. The ppl who put these fake videos out are liars and scavengers who have zero integrity.",negative
I miss my dog. He used to go nuts when I asked if he wanted to go out. It’s the one thing we couldn’t joke about with him because he would torture you with anxious stares for the rest of time until he gets taken out. 😂,negative
Scam callers don't stand a chance 😂,negative
Dogs can be so territorial and aggressive with certain breeds. It's annoying how unpredictable they are around other dogs!!!!,negative
"You know, cats hate water and this cat does I hate water snapping turtle oh no😮😮😮😮",negative
This looks so dangerous!! That poor animal is clearly panicking and scared... Not funny at all 😂😂,negative
I always be scared that dog is tryna hunch on that cat cuz usually you see cats don’t have no problem squaring up with their canine roommates. That one was scared.,negative
Even apollo hates scam calls,negative
This is way too stressful to watch!! The poor thing looks terrified... 😂😂,negative
This whole story format is so fake and manipulative. Stop trying to make people cry with these obviously made-up scenarios. Just show the animals!!!!!!!!!,negative
Final cat had an evil anime girl possessing it,negative
"So that everyone understands the situation about the cat trying to climb onto the roof: first of all, this is NOT animal abuse, since animal abuse must be caused intentionally. These are simply the cat’s own mistakes, and it falls because the distance is not enough.  Second, the man in the original video is just recording and cannot help the cat because the roof is too far away. Even if he had picked it up and thrown it toward the roof, the cat would have fallen anyway.  And third, the person who reposted the original video in this compilation knows that it is sad, since he even adds an emoji, which is this “😭”. And yes, it may be a bit cruel to include it in a funny cats compilation, but even he knows it is something sad. There is no need to report it, because the rooftop cat video does not belong to him and is only included in his video.",negative
@Z @Zoeko3us These videos just aren't for me. The repetitive content and poor editing make them hard to watch. I don't get why people find this entertaining,positive
"😳😳😱😱😱Yes, I did laugh, a little, but some of these crazy kitties scared me to death!! I see vet bills!!! 🥲",negative
The one with the cat and the roof sucks. Not funny at all,negative
Most likely AI but cute video,positive
This tutorial is top notch I enjoyed every second of it.,positive
NOW THEY’RE DESENSITIZING US TO VIOLENCE WITH ANIMALS this is sick,negative
Cats don’t actually hate water why just hate how vulnerable it makes them and the sudden temperature change,negative
"I liked the part when the kitten🐱 went ""I'M GONNA DIE HERE""!!!! 😂😂 poor cat",negative
"The happy music in the background, while this is the main problem: ""I'm goInG tO DiE HeRE!!!!""",negative
@fasty93  It's so sad that people abandon their pets like this. This dog clearly had a rough past and deserves better. Some owners are just terrible.,negative
The cat that flipped was so funny but it was so sad 😂😢,negative
I remember seeing a video of a beaver that got crushed by the tree that it's trying to bring down. So sad man.,negative
I honestly think this is my favorite video on the internet,positive
Animals are so smart I just love them they are so intelligent❤❤❤❤,positive
Some of these are Not funny. They are ABUSIVE- poor animals.,negative
Bro I don't know why the little kitty just said I'm going to die here 😆😂😂😆 I'm going to die here 🤣😂,negative
Soooo cuttte but don’t forget that is not good for them I mean it's not their environment to live in who knows how they'll be treated,negative
The editing is clear and easy to follow It deserves more views.,positive
"Normally otters have rocks they use and play with and use for buoyancy for a little bit (they also smash shellfish with them). There was an otter at Birmingham (UK, not under Sharia law, actually being gentrified) Sealife centre who had kept the same rock for years. They love to play with them. I visited the place a few times and the same little dude was always chilling, always doing curls with his rock, floating on his back.  I suspect he was either working on his escape or was the most ripped otter in the yard. Definitely was his enclosure. I think they called him Oscar or something.",positive
"The look on his face was like ""you just wait a few months bud"" LOL 😂",positive
Hello gorgeous birb!!!! ❤❤❤❤❤❤,positive
The hippo at the end. He's so awesome,positive
fake AI nonsense,negative
Even birds are sick of spam calls at this point,negative
Mine don't care at all you can point at themm the whole day they couldn't care less 😅,negative
when u slowly reaxh to them with ur finger pointed at them they'll just smell on ur finger. Thats usually how i greet every cat with 99% success rate as i am working at a restaurant and always smell like food,positive
I love Roblox,positive
The yelp at the end is killing me😹 I feel so bad for the poor thing!!!,negative
I'm worried no one is pointing out that this is clearly AI-generated. People believe anything they see online these days. So fake.,negative
nice to see dogs fight back lol love them borh though,positive
"4th cat is hashirama level threat. ""Tobirama, lower your finger""",negative
Crows are like Wednesday and parrots are like Enid,positive
"The third clip is horrible. It shouldn't be in it. The fall looked like it would have hurt it.poor thing, It's not an entertaining clip.",negative
The way it echos when the cat's head is in the vase is some Excellent editing!,positive
GORGEOUS CATS 🐈 OF THE WORLD 🎉🎉❤❤❤,positive
I actually felt bad for that cat she seemed genuinely scared,negative
"Finally, dogs putting those evil things in their place",negative
My bro is in love with this,positive
You and AI are the problem. Dumb Dumb,negative
The most beautiful thing is the love and peace we can share with animals. This really warms my heart!,positive
Husky never listens just by talking. He's a strange dog that knows he didn't do well only when he's beaten up.,negative
U actually killed generations....,negative
No!!! You!!! Don't do that!!! Trust me...😼,negative
How do you get a crow i would love to have one,positive
Dumb cat couldn't  even wait until the kitten got on poor kitten.,negative
"pointing something sharp to them is threatening them Hand  and arm are aggressive to them too and third, they fail to measure the distance of ur finger (like technique on welding sword), they dont like this feeling too",negative
Feel like this should have been 10x longer lol. Did you get the dog yesterday?? 😂,positive
"My reaction when my wife says ""You wanna get mcdonalds?” XD",positive
This is awesome 😭😭😭,positive
I LOVE ANIMALSSS,positive
"OK, this is funny. I don't know if they would bring a snapping turtle.",positive
Or even worse poison dark frog,negative
What a smart cat  and a cute cat.,positive
You know it's getting bad when even your pets are sick of scam callers,negative
Your explanation is outstanding It made my day better.,positive
Now animals also don't care about climate change and deforestation 😂 we are not alone we will all die with holding hands on hands,negative
"He’s that kid who refuses to mind, then when they finally do they punish themselves to make you feel bad for reprimanding them.",negative
"THIS VIDEO IS FAKE, CAN'T YOU TELL... IT'S AI!!!! COME ON... STOP BEING SO GULLIBLE",negative
Whole time it was the Crows purposely scaring people to death for centuries! But it worked since a lot of forests have been spared! 🤣 🤣 🤣,negative
"So Truly Adorable!!! Tell us, what happened to the baby?❤️",positive
What an amazing rescue story! So heartwarming to see someone care enough to help these little ones. Thanks for sharing this beautiful moment with us!,positive
That not Try to not Laugh That call Try to not be cringe,negative
Call police arrest them that's illegal move,negative
How many beavers you think get crushed nd killed a year?,negative
Third cat's owner sucks! How you gonna stand there and record while freaking out instead of grabbing him if you're that worried? That looked like it hurt!,negative
I truly believe humans are just gonna be the ancient civilization that the intelligent future crow society will study,positive
Saw a dead beaver smushed in a tree like this once when I was a kid. Poor guy 😢,negative
"Whenever I saw these cat memes (nostalgia), i never noticed that bg. I MEAN HOW!? THE WALL IS EVERY ANIME DREAMS FAN.",positive
"My boss had to put her cat down. She was always jumping the railing and ended up with a spinal cord injury, with dysfunctional back legs and severe pain",negative
AWWWWW THAT IS SO CUTE ❤️🦭,positive
So cute! But then an irrational me appeared...  4 - STOP THE MADNESS! Cat - STOP STARING AND DO SOMETHING! THE HUMAN IS TRYING TO CLEAN THE MOUSE! THATS NOT HOW YOU CATCH A MOUSE! MAKE HIM BE A BETTER CATCHER!! HES EMBARRASING ME!! SO BAD!! MAKE IT STOP!!  3 - If At First You Don't Suceed... Keep Repeating Until You Get On The Roof... Then Get Bored And Jump Off.,negative
GOOFY JUMPS NO HATE HE IS SOOOOO CHOPPEDDDD,negative
He said: you just killed me,negative
They are soooo smart wow!,positive
"thats how a t rex would look for you.  fast but not super fast, smart but not super smart. and if finds you, chomp.",negative
"I love crows so much! Whenever I was on the mainland, I enjoyed just watching them do silly crow stuff. I miss them a lot now that I’m home in Hawaii.  Whenever I go for a visit to the mainland, I always ask my hosts, “where’s the crows man? Gotta see me some crows!”❤️🤣🤙",positive
She looks like such a good girl,positive
SERIOUSLY WE KNOW ITS A CAT!!!!! Lose the banner it’s dumb brings down your iq as an uploader too,negative
"Love the doors opening before ""human"" has ever touched it",positive
Hahahahahahahahah😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂so funny I cant stop laughing 🤭,positive
My lazy dog does not care one bit for walks. 😂 He never gets excited. Dumb dog,negative
Okay that seal is well trained! Keep up the good work!,positive
I was 19 but yea royal is the best dog I’ve ever had even tho he’s so silly,positive
This dude is the physical avatar of a mid life crisis.,negative
I’m sorry but I’d hate to stop that one cat idk how but I couldn’t sit theee and watch it do that! Or I’d grab something for him to walk across! I can’t stand a human who cannot and watch a cat/animal almost hurt or actually hurt themselves!,negative
That tap on the ball says it all “is yours big homie I need some fish now thanks bye😂” what a cute animal.,positive
Yeah the AI really behaved nicely with that little fake wolf! Everything about this is staged and artificial. FAKE FAKE FAKE!!!!!!,negative
Holy can't stop laughing outstanding 😂😂😂😂😂😂❤❤❤❤❤,negative
"In lower primary school, the chicken used to sleep in my room I had to wake up to their noise every morning And it was considered bad lack if you stepped on their feaces immediately after waking up.  You will end up having a rough day at school 😂😂😂😂",negative
Cats are evil,negative
"I’m crying too!! This is sooo annoying!!  It’s 2:20 am & My daughter’s alarm is going off right now for her to be at work by 4am. A rooster would be even worse, no thank you😂😂",negative
lmaooo i love cats,positive
@wolden.leibee is stealing your videos!!!,negative
"Well the same shall be said for rock and roll or R&B, maybe even Jazz… it may not have been made by an Egyptian, but it’s definitely Egyptian in origin… 🤷🏾‍♂️ let that marinate for a bit, and have a great day!😊",positive
Poor little fella.😅😅😅 Aw no not again 😆😆😆,negative
"Nicki Minaj dog be like : Do you ....... Dog : Yes I do , ""Yes i do .........",positive
Can you imagine being the first person to hear a Raven repeat  your exact human voice? Pretty terrifying man. Good thing we now know they're just cute feather puppies. <3,positive
Wow... It's almost like chopping down trees is a part of the natural order of things... I mean chopping down rare trees or really really old trees and disturbing wild life homes are bad.. But common and quick growing trees can just be easily planted,positive
It's not sea turtle so he's probably dead sorry to say,negative
Love this! The deaf dog is too cute! 🥰,positive
Here’s is a tutorial on how to sneeze:  😄 😁 🙂 😐 😖 😣 😩 😫 🤧 😮‍💨 Hope this helps 🤗,positive
It's so cute and thick.. love it!! 🦫🦫🦫,positive
I would be bringing home a bucket of rocks every day while I starved to death.,negative
Cats can and do get injured and killed falling from heights all the time,negative
"""The Worst She Can Say Is No"" *Bites Leg*",negative
"That cat that gently put the hand down, was a certified assassin, he was like lady trust me you don't want the smoke",positive
Thank goodness for you 👍👍,positive
"guys i am not that smart , but a fish for stone's a bad trade",negative
Poor cats tried to relax eating breakfast but this beast came over! what a shame! Cats seem so disappointed! The black and white cat looks so offended and stressed...,negative
You people who think it's funny to see cats hurt are evil psychopaths on your way to eternal hellfire.,negative
FAKE!!!,negative
Haha loved it!!😂,positive
These little guys have been the reason for so many horror stories,negative
The second from the last one was super cool.,positive
"Or Very Very VERY Worse, A SHARK",negative
"Pov, pewdiepie playing happy wheels.",positive
Nothing funny about cats falling down the stairs. They can hurt themselves like that. People really have a very strange sense of humor. Smh,negative
"@MikeSells-n1x I was going to reply to the op in my usual answer, but yours is much more respectful.  My go to answer is...dinner.",positive
Cats terminal velocity(the max speed they fall) is actually really slow. You could drop one from space(if we ignore the problem of not being able to breathe up there) & it would survive the fall.,negative
GUYS DONT PICK THEM UP⚠️they could die if you  do! If you see them in the road pick them up jently and bring them the way they are going they will die if you carry them somewhere else,negative
😂😂😂 I live this it's great,positive
I love Ravens!!❤,positive
"❤Yeah this is Roblox (WHY DID HE SAY ""FREE SCHLEP",positive
i love rabbit❤❤❤,positive
"We have about thousands of crows who come by, especially in the fall, you know, from one end of the cemetery, it's the length of the streets to the other every night, it just goes around the circles. It's the most amazing thing I've ever seen, and I found out from a friend that they're extremely intelligent. I wish one of them would just lean on my porch and talk to me.  That's\nFunny that sounds",positive
@alfa1134 the bigs ones are yeah but the noticeably smaller ones if I’m not mistaken are crow similar in intelligence they can both learn how to talk both are awesome,positive
How annoying. What is wrong with parents these days?,negative
"Good job, Apollo. I hope he got a snack for this.",positive
how could you betray me father,negative
I got this dog ❤ he's bites strangers and hates other dogs. But I love him sm,positive
Hid is highly bad for the turtle life circle it is illegal you do not pick up baby turtles no matter what,negative
"Instead of these people video taping there cats, why not go over to them and stop them from falling and hurting themselves?",negative
It happend in my 40s my ex partner wanted rid of my sons dog but i couldnt let both of them be heartbroken so i took the tilly monster 😅,negative
But y do cat hate that kind of pointing,negative
Lol this had me laughing even tho I'm grumpy 😂😂😂😂😂,positive
"I think you would need to travel back in time to find any ""Egyptian"" music that wasn't just islamic music. It's not the same Egypt your cat would have evolved in. Also expecting genetic memory after some 5000 generations of an animal that lives 5 to 20 years and has babies by the time they are 7 months old is a bit of a stretch. Also, I am pretty sure this is just music from the Movie DUNE and I don't think your cat came from Arrakis.",positive
Lol it's so funny 😂,positive
I so Love Crows♥️🐦‍⬛,positive
Your explanation is top notch I will definitely recommend this.,positive
I do not like this new format of video collections where you place the b&w “dog” title between each clip with that jarring noise.  It’s a lousy format. Stop copying it.,negative
I'm not good at English and this made me think you were feeding a crow killer 😭,negative
Poor groundhog. Hate that cat,negative
IM CRYING HES SO FREAKING CUTEE🥹🥹,negative
I always love your videos ❤,positive
The poor cat in the third video sounded like that hurt!! Next time drop the phone and grab the cat!! Poor thing,negative
That’s how I got my first Jack Russel.  One of the best dogs I ever had. She was very protective of me and she went everywhere with me. And got her sister two years later. She lived to be 16.  They choose you you don’t choose them.,positive
"""FREE SHLEP"" got me 😭😭😭",positive
great,positive
"That poor cat holding the chair and being dragged across the floor was screaming, ""MaMa, MaMa"".",negative
"That's my cat ""oh I am hungry MEOWWWWWWWwWWWwwww what if there is no food oh no I will STARVE""",negative
"Getting in your cat's face and shouting, ""Stop it, you're gonna fall"" will only make them panic and the fall that much worse.  My cats would sit on railing all the time and never once fell",negative
Good man. Labs our wonderful. I had my Austin for 17 years,positive
I love the dog 🐕🐕🐕😍😍😍,positive
This tutorial is worth sharing I will definitely recommend this.,positive
"I know! The cat is doing what everyone is thinking! Come on, dog! Stop it!",negative
To be fair that rooster is smarter than most dogs😂 if my dog is walked in that room and I was under the covers they might never find me😂,positive
No these are just awful cats,negative
One girl uses disgusting words. Ruins the whole thing 😢,negative
"It’s almost as good as will you ……..,,,,,,,,, marry me ? You can see the true reactions of the woman internally in those dogs",positive
"I have always hated when dogs do this with their mouths. How can I love or support you, you floppy ear menace!",negative
I literally don't trust and or don't want anything to do with people who dislike dogs. You guys suck,negative
😂😂 lol i hope for them now 😊,positive
The screaming and insane reactions make them fall,negative
The production quality is amazing I enjoyed every second of it.,positive
This channel is amazing I enjoyed every second of it.,positive
Funny pets I love it 😂❤,positive
